campaign,start,stop,channel,module,output,ra0,dec0,ra1,dec1,ra2,dec2,ra3,dec3
0,2014-03-08,2014-05-27,1,2,1,103.77540691130231,18.329944084899317,103.5862357975927,19.519139556049485,104.76162976377799,19.682143899476536,104.94208118581355,18.491127011161005
0,2014-03-08,2014-05-27,2,2,2,103.39302997393486,20.720265258631176,103.58431363962693,19.531154223989034,104.75979240682314,19.69418187435528,104.57663946378759,20.885026858741067
0,2014-03-08,2014-05-27,3,2,3,105.86775042850714,21.054119117099784,106.04119038929633,19.86246834733406,104.86308789454596,19.70821925145627,104.68115961382381,20.899242200883435
0,2014-03-08,2014-05-27,4,2,4,106.21318279428203,18.658550608967477,106.04293194535703,19.850423294283566,104.86491763902953,19.696180227274965,105.04411085485496,18.504975380223062
0,2014-03-08,2014-05-27,9,4,1,102.86129585120099,23.96054396334604,102.65936096003574,25.149171644026616,103.88298523531722,25.31561050117526,104.07308633022826,24.12479696261155
0,2014-03-08,2014-05-27,10,4,2,102.4520065049628,26.34962631271053,102.65730669631265,25.161184507570844,103.881049252957,25.327639798552863,103.6871619294608,26.518205154126345
0,2014-03-08,2014-05-27,11,4,3,105.03394620807155,26.687812244879044,105.21420227866399,25.49620296020793,103.98690306236043,25.341552784036367,103.79496265990139,26.532273710299688
0,2014-03-08,2014-05-27,12,4,4,105.39184515770106,24.29223181829785,105.21599449231556,25.484160970739907,103.98882250425352,25.32952130768675,104.17694632828474,24.138548227295892
0,2014-03-08,2014-05-27,13,6,1,100.84811604485115,17.392602417379432,102.09195597733681,17.58951310201147,102.27896981624161,16.48470048815131,101.04152226983099,16.28941211806017
0,2014-03-08,2014-05-27,14,6,2,103.35117719573682,17.779835096109526,102.10454350314326,17.591462022407978,102.29148474173024,16.486638357559748,103.53141143100919,16.674539476476202
0,2014-03-08,2014-05-27,15,6,3,103.72485778767056,15.472795994691865,102.49272556491863,15.285655434333135,102.30823075377012,16.39076133633673,103.54766627199432,16.578462943034875
0,2014-03-08,2014-05-27,16,6,4,101.25029291973922,15.090441127008063,102.48027637534211,15.283733774131406,102.29570913387803,16.388828234067507,101.05873214608852,16.193830786856594
0,2014-03-08,2014-05-27,21,8,1,100.3089864209718,20.691636460605658,100.08952781756457,21.876732739432615,101.2794631306806,22.063272822233586,101.4891390960838,20.87609380922404
0,2014-03-08,2014-05-27,22,8,2,99.86469969305989,23.073602096658494,100.0873009190178,21.88870819299426,101.27732671745866,22.075268697943905,101.06407950376723,23.262191950102622
0,2014-03-08,2014-05-27,23,8,3,102.3708051458013,23.455932387880214,102.57290657934439,22.267923464712908,101.37947261259845,22.091329196381313,101.16773131762876,23.2784395442236
0,2014-03-08,2014-05-27,24,8,4,102.77287380109998,21.067570699424,102.5749281903492,22.25591591029271,101.38159449973125,22.07933106777224,101.5897493673258,20.891945723867057
0,2014-03-08,2014-05-27,25,9,1,102.33195940847058,23.934479871181487,101.03367635386856,23.744549474869544,100.83365121805664,24.848804678239766,102.14373380103847,25.039941878870145
0,2014-03-08,2014-05-27,26,9,2,99.72610423393073,23.542338239762913,101.02057814642315,23.74257843724559,100.82042951351076,24.846814810726073,99.51454571800915,24.644199274398545
0,2014-03-08,2014-05-27,27,9,3,99.27959503394578,25.83875544902272,100.59704428629352,26.0451505804279,100.80237533991546,24.94141796766837,99.49579655246438,24.737380575121602
0,2014-03-08,2014-05-27,28,9,4,101.93251145568946,26.240736907181237,100.61037899851931,26.047175942032954,100.81560505157138,24.943421039418578,102.12644854533244,25.135881926986503
0,2014-03-08,2014-05-27,29,10,1,101.83631474508256,26.75156882934403,100.50795807443461,26.559045860849487,100.29950989995322,27.66283181285872,101.64144472472687,27.85682735646152
0,2014-03-08,2014-05-27,30,10,2,99.17071284480689,26.352700328767156,100.49455469257516,26.557038687092945,100.28597744561583,27.660804769616547,98.94898703943393,27.453831603692528
0,2014-03-08,2014-05-27,31,10,3,98.70252113746102,28.647961833804754,100.0532991454976,28.857714131299186,100.26645725121557,27.754288180067395,98.92838237533475,27.547140457035976
0,2014-03-08,2014-05-27,32,10,4,101.42322006860394,29.05522092030141,100.06698107086362,28.859758597502168,100.28000094373978,27.756317120666424,101.62306959980748,27.950383744155612
0,2014-03-08,2014-05-27,33,11,1,97.91592607757212,16.891833672274206,99.1528582464238,17.10848335471941,99.3586830081009,16.006851896166616,98.12785784440663,15.791862519601535
0,2014-03-08,2014-05-27,34,11,2,100.40528114293458,17.31907078783126,99.16537370546726,17.11062868447807,99.37113526723151,16.008985986594645,100.60459837184966,16.21685752775898
0,2014-03-08,2014-05-27,35,11,3,100.81802117146289,15.018144446249263,99.59204222818059,14.810906200550322,99.38861597301285,15.912788640331167,100.62153066634502,16.120730512937136
0,2014-03-08,2014-05-27,36,11,4,98.35599302438315,14.595512646765451,99.57966626317932,14.808779102721244,99.37616950607274,15.910655554477335,98.14586641162747,15.695687081814391
