campaign,start,stop,channel,module,output,ra0,dec0,ra1,dec1,ra2,dec2,ra3,dec3
17,2018-02-01,2018-04-22,1,2,1,184.52598227719798,2.7859550981839885,184.33066152779088,1.5993157633691524,183.22579595162082,1.7809136897360232,183.42089852064822,2.9681804540947687
17,2018-02-01,2018-04-22,2,2,2,184.13291504970366,0.40076557225336396,184.3286865996279,1.587326730811901,183.22382531980526,1.7689126112054305,183.02894443766215,0.5816214111940096
17,2018-02-01,2018-04-22,3,2,3,181.82758962489748,0.7791290100765482,182.02176087038774,1.9660397679232677,183.12680402026095,1.7847340890496026,182.9315466126735,0.5974939032942904
17,2018-02-01,2018-04-22,4,2,4,182.21871327810743,3.1648175251835338,182.023722600098,1.9780365411812006,183.1287740407437,1.7967352704756747,183.3243042421218,2.98394852711783
17,2018-02-01,2018-04-22,13,6,1,187.46903820567834,2.7961296922894037,186.28067781741746,2.989890709090449,186.46118186086812,4.094483475825391,187.65135990515768,3.8998357010136724
17,2018-02-01,2018-04-22,14,6,2,185.07998789984944,3.184970697860796,186.26866336651614,2.9918449063337085,186.44915364484424,4.096439494520521,185.25839914186543,4.2893338609221185
17,2018-02-01,2018-04-22,15,6,3,185.45307206911426,5.489799524177186,186.64546923290587,5.297081741157793,186.46426466405362,4.192477113621114,185.27329804381478,4.385524195708788
17,2018-02-01,2018-04-22,16,6,4,187.84905842998995,5.099454214785593,186.65752236422642,5.295115865419638,186.47630470074856,4.19051343191859,187.66666647346696,3.995625164284272
17,2018-02-01,2018-04-22,21,8,1,186.87718575543755,-0.4891704907349901,186.6822268113827,-1.6758772649955005,185.57752631904762,-1.4938834136491648,185.77345455475802,-0.3068326692261943
17,2018-02-01,2018-04-22,22,8,2,186.48451979327209,-2.8744720570290125,186.6802474174399,-1.6878675555838665,185.57554538563937,-1.5058792273148995,185.37938079660586,-2.692924719037154
17,2018-02-01,2018-04-22,23,8,3,184.1794102395162,-2.493823282655251,184.37633540348554,-1.3075233169153484,185.4807156056824,-1.4906984202604472,185.28390474438663,-2.6775905375443827
17,2018-02-01,2018-04-22,24,8,4,184.57572998085112,-0.1093455933995248,184.37832702619784,-1.295535105888941,185.48270269143347,-1.4787036235549416,185.67931890340904,-0.2917956664515996
17,2018-02-01,2018-04-22,25,9,1,184.0621206496876,-2.959169741905983,185.24979321719846,-3.1584319838927035,185.06417350486245,-4.262200483829654,183.8746492749946,-4.062063322797398
17,2018-02-01,2018-04-22,26,9,2,186.449827518215,-3.358945874026444,185.26179455825067,-3.1604417595597876,185.0762004285609,-4.264214842511856,186.266345054563,-4.462524665317003
17,2018-02-01,2018-04-22,27,9,3,186.06781885842136,-5.6596131457218055,184.87586732834225,-5.462902289729138,185.06091190837031,-4.35900691066365,186.25139271267716,-4.5560701430470845
17,2018-02-01,2018-04-22,28,9,4,183.672793109773,-5.261101285601206,184.86382775943346,-5.460903485788619,185.04888132149,-4.357003835875285,183.8590348057731,-4.158016426164258
17,2018-02-01,2018-04-22,29,10,1,183.590936145848,-5.77268951943444,184.78279920094906,-5.974654956492386,184.59432559285958,-7.078152231249429,183.39950593552538,-6.875131708047158
17,2018-02-01,2018-04-22,30,10,2,185.9875092053384,-6.176642808072941,184.79484992051363,-5.976684957857654,184.60640213022987,-7.080186725234942,185.8022822464404,-7.280158849052288
17,2018-02-01,2018-04-22,31,10,3,185.60102699265548,-8.477453683441862,184.4023091188612,-8.277551953298143,184.59179796002334,-7.174143162464176,185.78789957609192,-7.37416456775351
17,2018-02-01,2018-04-22,32,10,4,183.19282645060397,-8.071360132655434,184.39020043656865,-8.275506134783708,184.57971901178823,-7.172108288819404,183.38469123399724,-6.968941129101578
17,2018-02-01,2018-04-22,33,11,1,190.2809158496256,2.33719911282835,189.0931566863146,2.5319245664502152,189.27452385866803,3.636332031187154,190.4638951188537,3.4407836642358114
17,2018-02-01,2018-04-22,34,11,2,187.8931285564489,2.7281282046352335,189.0811529691761,2.53389278603369,189.26250233424815,3.6383032217216673,188.07261689699044,3.8322948113508932
17,2018-02-01,2018-04-22,35,11,3,188.26904631062817,5.032630835230356,189.46044696982918,4.839044965418853,189.27869655714053,3.734611216464958,188.08859985395915,3.9284747903725696
17,2018-02-01,2018-04-22,36,11,4,190.66310774245073,4.640881369601024,189.47248203309925,4.8370779296928506,189.2907193465586,3.7326398079177423,190.48028057944595,3.5371302141960705
17,2018-02-01,2018-04-22,37,12,1,189.81925030760144,-0.480461417254083,188.63234124428396,-0.2867519333003626,188.8129806776236,0.8177641642882508,190.00040475127014,0.6234188107806647
17,2018-02-01,2018-04-22,38,12,2,187.43356978202254,-0.09034158777389323,188.62034786830688,-0.2847912713522504,188.8009862573574,0.8197250141550286,187.6134469830464,1.013748323366631
17,2018-02-01,2018-04-22,39,12,3,187.80898531890682,2.2117111157976637,188.99668367542304,2.0178740907926715,188.8155802413952,0.9134148014797797,187.6280561084348,1.107767761716194
17,2018-02-01,2018-04-22,40,12,4,190.19599443563976,1.8206105497260665,189.00868321401921,2.015906574286235,188.8275853369241,0.9114464083519412,190.01498375348766,0.7166803109097855
17,2018-02-01,2018-04-22,41,13,1,189.3585302705454,-3.3019788106120003,188.16964440496008,-3.1093608793469327,188.3499425641641,-2.004791136503388,189.53825436892657,-2.1978745825941033
